,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,Endorsement Data,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Big Lie,Big Lie Date,Big Lie Recanvasser,Big Lie Notes,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,Trump,Trump Date,Club for Growth,Party Committee,Renew America,E-PAC,VIEW PAC,Maggie's List,Winning for Women,Notes
Tim Reichert,Male,White,,,N/A,6/20/2022,N/A (they are N/A),e-mailed,No,No,Colorado,6/28/2022,Representative,7,"32,583",36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lori A. Saine,Female,White,,,?,6/20/2022,Maya,held a hearing to investigate fraud despite no evidence and has repeated election conspiracy theories in public (dead people voting),No,No,Colorado,6/28/2022,Representative,8,"12,357",21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Jan Kulmann,Female,White,,,No?,3/2/2023,Nathaniel,Has said Biden is the president but didn't say if election was legitimate,No,No,Colorado,6/28/2022,Representative,8,"13,398",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,
Barbara Kirkmeyer,Female,White,,,No,12/1/2022,N/A (checked against interactive),"""Joe Biden won the election""",No,No,Colorado,6/28/2022,Representative,8,"22,724",39%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Tyler Allcorn,Male,White,,,No,3/10/2023,Kaleigh,"""but the election in 2020 wasn’t stolen and unfortunately Joe Biden is the President of the United States,""",No,No,Colorado,6/28/2022,Representative,8,"9,743",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,
Greg Lopez,Male,Latino,,,Yes,6/20/2022,Maya,said he would pardon Tina Peters; that the 2020 election was stolen; and that Dominion machines undercut the legitimacy of elections,No,No,Colorado,6/28/2022,Governor,N/A,"292,171",46%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Heidi Ganahl,Female,White,,,No,12/1/2022,N/A (checked against interactive),"Dodged question for a long time, then finally acknowledged Biden's legitimacy. However, also said US Election Integrity Plan was ""doing great things.""",No,No,Colorado,6/28/2022,Governor,N/A,"341,145",54%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Peggy Hubbard,Female,Black,,,Yes,3/2/2023,Nathaniel,Attended Jan. 6,No,No,Illinois,6/28/2022,Senator,N/A,"177,180",25%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Casey Chlebek,Male,White,,,Declined to answer,3/10/2023,Kaleigh,"Daily Herald: ""Chlebek said the focus shouldn't be on what happened in 2020, but on the integrity of future elections to 'concentrate on improving the election process so it never happens.'""",No,No,Illinois,6/28/2022,Senator,N/A,"76,213",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Robert ""Bobby"" Piton",Male,White,,,Yes,8/23/2022,Maya,aided Trump legal team pushing baseless claims in Arizona ,No,No,Illinois,6/28/2022,Senator,N/A,"65,461",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jimmy Lee Tillman II,Male,Black,,,Yes,3/2/2023,Nathaniel,"says the election was stolen in Daily Herald forum, also said ""Nope"" when asked if Biden won the 2020 election",No,No,Illinois,6/28/2022,Senator,N/A,"36,342",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anthony W. Williams,Male,Black,,,No,3/10/2023,Kaleigh,"Chicago Tribune: ""only candidate at the Daily Herald forum who explicitly said Biden was legitimately elected""",No,No,Illinois,6/28/2022,Senator,N/A,"52,890",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kathy Salvi,Female,White,,,No?,12/1/2022,N/A (checked against interactive),"says Biden is president but made a lot of noise about preventing fraud; belongs to something called ""Voter Integrity Project""",No,No,Illinois,6/28/2022,Senator,N/A,"216,007",30%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Matthew ""Matt"" Dubiel",Male,White,,,N/A,8/23/2022,Maya,"made general comments about supporting more ID verification protocol (had been ""?""; I watched the full video and he also says stuff about the importance of poll watching and opposing early voting, but nothing that rose to ""?"" IMO)",No,No,Illinois,6/28/2022,Senator,N/A,"90,538",13%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric Carlson,Male,White,,,?,12/1/2022,N/A (checked against interactive),"There were serious questions and concerns regarding the 2020 election that have not been addressed, and despite media claims of these being “debunked”, there has been no actual true investigations. We know that due to covid, several states illegally changed their election laws such as in Pennsylvania. Until these issues are addressed and election reforms are made to give the American people confidence in the system we will continue to be divided on this issue.
 
I have several videos about this issue on my YouTube channel – Eric Carlson for Congress -  which will give you more information.
 
Thanks for reaching out!
 
Eric Carlson",No,No,Illinois,6/28/2022,Representative,1,"10,755",40%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Philanise White,Female,Black,,,Declined to answer,3/2/2023,Nathaniel,"Kaleigh, thank you for reaching out to Philanise for Congress.  The candidate is currently working with another candidate calling for a Federal investigate into nursing home and guardianship abuse. If you are interested in covering that topic, we can have her available to speak with you; otherwise, we must decline.
",No,No,Illinois,6/28/2022,Representative,1,"1,598",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jeffery T. Regnier,Male,White,,,N/A,6/16/2022,N/A (they are N/A),815-230-1874,No,No,Illinois,6/28/2022,Representative,1,"10,375",39%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Geno Young,Male,Black,,,?,3/10/2023,Kaleigh,"website says ""What happened to our 2020 election was a travesty. We all saw it. If we don’t have secure elections, we have no republic.""",No,No,Illinois,6/28/2022,Representative,1,"3,853",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ashley Ramos,Female,Latino,,,Yes,3/2/2023,Nathaniel,"on facebook, shared a video of Tucker Carlson saying the election was stolen. She's also on GTTR, although I wasn't able to search (will link to image of facebook post)",No,No,Illinois,6/28/2022,Representative,2,"7,524",27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Shane Cultra,Male,White,,,N/A,6/16/2022,N/A (they are N/A),shanecultra@cultraforcongress.com,No,No,Illinois,6/28/2022,Representative,2,"9,869",36%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Thomas Lynch,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),thomaslynch4congress@gmail.com,No,No,Illinois,6/28/2022,Representative,2,"10,289",37%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Justin Burau,Male,White,,,No?,12/1/2022,N/A (checked against interactive),Tweet in 2021 said Biden won,No,No,Illinois,6/28/2022,Representative,3,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Falakos,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),No campaign presence online,No,No,Illinois,6/28/2022,Representative,4,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tommy Hanson,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Hanson said the question alone indicates Biden's win ""was not fair and just."" ... Still, Hanson acknowledged Biden is the president, ""regardless of whether it was fair or not.""",No,No,Illinois,6/28/2022,Representative,5,"14,806",55%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Malgorzata McGonigal,Female,White,,,N/A,6/16/2022,N/A (they are N/A),info@mcgonigalforcongress.com,No,No,Illinois,6/28/2022,Representative,5,"11,916",45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Keith Pekau,Male,White,,,No,12/1/2022,N/A (checked against interactive),Pekau recognized Biden as president and expressed no doubts about the results.,No,No,Illinois,6/28/2022,Representative,6,"20,178",39%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Niki Conforti,Female,White,,,?,3/10/2023,Kaleigh,When asked by Daily Herald she said she didn't know if Biden won. ,No,No,Illinois,6/28/2022,Representative,6,"5,947",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott R. Kaspar,Male,White,,,?,6/16/2022,Maya,"""wouldn't say the election was legitimate.""",No,No,Illinois,6/28/2022,Representative,6,"3,573",7%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gary Grasso,Male,White,,,No,3/2/2023,Nathaniel,Grasso said he believes Biden legitimately won.,No,No,Illinois,6/28/2022,Representative,6,"14,150",27%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Catherine A. O'Shea,Female,White,,,No,3/10/2023,Kaleigh,"""He is the legitimate president,""",No,No,Illinois,6/28/2022,Representative,6,"5,243",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Robert ""Rob"" Cruz",Male,White,,,?,6/16/2022,Maya,"""declined to say if he thought Biden had been legitimately elected. In a follow-up interview, he said he didn't know -- but he acknowledged Biden is president.""",No,No,Illinois,6/28/2022,Representative,6,"3,003",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Peter Kopsaftis,Male,White,,,N/A,6/17/2022,N/A (they are N/A),Peter@PeterKforCongress.com,No,No,Illinois,6/28/2022,Representative,8,"6,101",18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chad Koppie,Male,White,,,Yes,3/2/2023,Nathaniel,"I asked those questions to Chad.  Here are his answers:  ""Yes, Trump won the election.  No, the election results weren't legitimate.""",No,No,Illinois,6/28/2022,Representative,8,"4,886",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Phillip Owen Wood,Male,White,,,N/A,6/17/2022,N/A (they are N/A),office@philwoodforcongress.com,No,No,Illinois,6/28/2022,Representative,8,"6,529",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Karen Kolodziej,Female,White,,,N/A,6/17/2022,N/A (they are N/A),No campaign presence online,No,No,Illinois,6/28/2022,Representative,8,"6,017",17%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Dargis,Male,White,,,No,12/1/2022,N/A (checked against interactive),"""Did Joe Biden win the 2020 election? Yes. Would you have voted to ratify his presidency? Yes.""",No,No,Illinois,6/28/2022,Representative,8,"11,055",32%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Maxwell ""Max"" Rice",Male,White,,,N/A,12/1/2022,N/A (checked against interactive),can't find contact info,No,No,Illinois,6/28/2022,Representative,9,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joseph Severino,Male,White,,,N/A,12/1/2022,N/A (checked against interactive),info@severinoforcongress.com,No,No,Illinois,6/28/2022,Representative,10,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jerry Evans,Male,White,,,No?,3/10/2023,Kaleigh,"""Joe Biden has been sworn in as the winner of the 2020 Presidential Election. """,No,No,Illinois,6/28/2022,Representative,11,"11,158",23%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,
Andrea Heeg,Female,White,,,N/A,6/17/2022,N/A (they are N/A),andreaheeg@andreaheeg4congress.com,No,No,Illinois,6/28/2022,Representative,11,"3,334",7%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,
Catalina Lauf,Female,Latino (Guatemalan),,,No?,12/1/2022,N/A (checked against interactive),"""Congress certified Joe Biden as President of the United States in January -- however -- in order for our political system to even work, as a free people, Americans MUST have faith in our Republic and we must believe that our electoral system is being handled safe and securely. As a member of Congress you need to listen to your people. The American people have the right to ask questions, and there are a lot of questions surrounding the 2020 election that deserved to have been asked and answered, that have not been answered.""",No,No,Illinois,6/28/2022,Representative,11,"15,360",31%,Won,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,
Susan L. Hathaway-Altman,Female,White,,,?,6/17/2022,Maya,"""It's worth noting that Hathaway-Altman said she can't determine whether Biden won the election""",No,No,Illinois,6/28/2022,Representative,11,"6,017",12%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,
Mark Joseph Carroll,Male,White,,,?,3/2/2023,Nathaniel,"Didn't say explicitly rigged in this interview, but seems ? or maybe ""yes""?",No,No,Illinois,6/28/2022,Representative,11,"9,955",20%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,
Cassandra Tanner Miller,Female,White,,,No,3/10/2023,Kaleigh,"""Joe Biden is our current president, he was elected""",No,No,Illinois,6/28/2022,Representative,11,"3,730",8%,Lost,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,No,N/A,N/A,N/A,
Mike Bost,Male,White,,,Yes,12/1/2022,N/A (checked against interactive),Didn't certify; also signed onto TX lawsuit,Yes,No,Illinois,6/28/2022,Representative,12,1,100%,Won,N/A,N/A,N/A,Yes,6/27/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jesse Reising,Male,White,,,Declined to answer,6/18/2022,Maya,"""Reising did not directly answer, though he did use the opportunity to criticize Biden.""",No,No,Illinois,6/28/2022,Representative,13,"14,184",33%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Matt Hausman,Male,White,,,No,3/2/2023,Nathaniel,"""Yes, Joe Biden won,"" said Hausman on June 2. ""And yes, it was free and fair, as was said by Trump's own election security official."" ",No,No,Illinois,6/28/2022,Representative,13,"10,289",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
Regan Deering,Female,White,,,No?,12/1/2022,N/A (checked against interactive),"Cast doubt repeatedly, but finally said in a debate in June, ""We have Joe Biden sitting as our current president""",No,No,Illinois,6/28/2022,Representative,13,"14,885",35%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,
Terry Martin,Male,White,,,?,3/10/2023,Kaleigh,"""I don't want to say who won the election,"" said Martin. ""Joe Biden is the president, for better or worse. I would say for worse.""",No,No,Illinois,6/28/2022,Representative,13,"3,694",9%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,
"James T. ""Jim"" Marter",Male,White,,,Yes,6/18/2022,Maya,Tweeted about fraud fairly regularly,No,No,Illinois,6/28/2022,Representative,14,"10,950",24%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott R. Gryder,Male,White,,,No,12/1/2022,N/A (checked against interactive),"But Gryder also does not believe Trump’s Big Lie that the 2020 presidential election was stolen. “Joe Biden is in the White House,” Gryder said. “We have to accept that and move on.” (Had been N/A, no info)",No,No,Illinois,6/28/2022,Representative,14,"13,998",31%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Koolidge,Male,White,,,Declined to answer,3/2/2023,Nathaniel,"If you have access to this local article, they ask him in their questionnaire and he refused to answer",No,No,Illinois,6/28/2022,Representative,14,"9,378",21%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jaime Milton,Female,White,,,Yes,3/10/2023,Kaleigh,"""There is evidence coming forward continually that points to the fact that elections were tampered with. We would need to evaluate all of the audits to determine if Joe Biden won the 2020 election.""",No,No,Illinois,6/28/2022,Representative,14,"4,612",10%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jack Lombardi II,Male,White,,,Yes,6/18/2022,Maya,tweeted that the AZ audit would reveal the truth https://twitter.com/JackLombardi/status/1440069673714786307,No,No,Illinois,6/28/2022,Representative,14,"6,372",14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rodney Davis,Male,White,,,No,3/2/2023,Nathaniel,"Defended vote to certify, called voter-fraud claims ""unsubstantiated""",Yes,Yes,Illinois,6/28/2022,Representative,15,"47,852",43%,Lost,N/A,N/A,N/A,No,N/A,No,N/A,N/A,N/A,N/A,No,N/A,
Mary Miller,Female,White,,,Yes,12/1/2022,N/A (checked against interactive),Voted not to certify,Yes,Yes,Illinois,6/28/2022,Representative,15,"64,549",57%,Won,N/A,N/A,N/A,Yes,1/1/2022,Yes,N/A,N/A,N/A,N/A,Yes,N/A,
Darin LaHood,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Said there was no evidence of fraud, but then supported the Texas lawsuit, but THEN voted to certify",Yes,No,Illinois,6/28/2022,Representative,16,"56,582",66%,Won,N/A,N/A,N/A,Yes,6/27/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Walt Peters,Male,White,,,N/A,6/21/2022,N/A (they are N/A),,No,Yes,Illinois,6/28/2022,Representative,16,"11,278",13%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
JoAnne Guillemette,Female,Black,,,N/A,6/21/2022,N/A (they are N/A),,No,Yes,Illinois,6/28/2022,Representative,16,"10,476",12%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Rebresh,Male,White,,,Yes,3/10/2023,Kaleigh,"Asked if Joe Biden won the 2020 election fairly, 16th Congressional District candidate Michael Rebresh answered ""he did not""",No,Yes,Illinois,6/28/2022,Representative,16,"6,911",8%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Charles ""Charlie"" William Helmick Jr.",Male,White,,,N/A,6/21/2022,N/A (they are N/A),,No,No,Illinois,6/28/2022,Representative,17,"14,274",31%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,No,No,No,No,
Esther Joy King,Female,White,,,N/A,12/1/2022,N/A (checked against interactive),,No,No,Illinois,6/28/2022,Representative,17,"31,065",69%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,Yes,Yes,Yes,
Richard C. Irvin,Male,Black,,,No,3/2/2023,Nathaniel,"""Listen, Joe Biden is the President of the United States.""",No,No,Illinois,6/28/2022,Governor,N/A,"119,592",15%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gary Rabine,Male,White,,,?,3/10/2023,Kaleigh,"""I’m not smart enough to understand what was the end result, whether it was stolen or not, and I would never say that.”",No,No,Illinois,6/28/2022,Governor,N/A,"52,194",7%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Darren Bailey,Male,White,,,?,12/1/2022,N/A (checked against interactive),"Made noise about election integrity, said there was ""fraudulent activity"" in 2020",No,No,Illinois,6/28/2022,Governor,N/A,"458,102",57%,Won,N/A,N/A,N/A,Yes,6/25/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Paul Schimpf,Male,White,,,No,6/21/2022,Maya,Thinks Biden won,No,No,Illinois,6/28/2022,Governor,N/A,"34,676",4%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jesse Sullivan,Male,White,,,No,3/2/2023,Nathaniel,"“Joe Biden won the race. Joe Biden is the president of the United States and Donald Trump had his day in court,”",No,No,Illinois,6/28/2022,Governor,N/A,"125,094",16%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Max Solomon,Male,Black,,,N/A,6/21/2022,N/A (they are N/A),,No,No,Illinois,6/28/2022,Governor,N/A,"7,371",1%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joe Pinion,Male,Black,,,No,12/1/2022,N/A (checked against interactive),"Joe Pinion here.  Thank you for the inquiry.  Apologize for the delay.  

Specifically to your questions.

1) The election was legitimate and certified.

2) Joe Biden is the 46th President of the United States of America.  Full stop

Beyond that, we would welcome the opportunity to discuss the myriad issues plaguing our nation (many of which emanate from New York.)

-> Unchecked child poverty

-> A literacy / reading proficiency crisis in our schools tantamount to child abuse that is holding our future hostage.

-> Unchecked inflation that is accelerating the extinction of the American middle class.

-> etc

If there is one race in the country that provides us with an opportunity to facilitate a national conversation on these often neglected issues, it is our campaign against a 24 year incumbent and the Senate Majority Leader for the nation.  

Thank you for reaching out and look forward to speaking in the future. 
",No,No,New York,6/28/2022,Senator,N/A,1,100%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andrew Giuliani,Male,White,,,Yes,3/10/2023,Kaleigh,"“I believe that Donald Trump on was November 3, 2020, was re-elected,” Giuliani said",No,No,New York,6/28/2022,Governor,N/A,"103,267",23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Harry Wilson,Male,White,,,No,6/20/2022,Maya,"“I believe Joe Biden was the duly elected president of the United States,” Wilson said. “I believe that we Republicans need to move on and focus on addressing problems that really hurt working families today.”",No,No,New York,6/28/2022,Governor,N/A,"66,736",15%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rob Astorino,Male,White,,,N/A,6/20/2022,N/A (they are N/A),"has dodged the question, e-mailed",No,No,New York,6/28/2022,Governor,N/A,"84,464",19%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lee Zeldin,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"Voted not to certify but has been wishy-washy on election. I (Nathaniel) changed him from ""?"" to ""No?"" on the basis of the Politico article: ""Lizza clarified, saying he was asking if Biden won the presidency. 'You’re asking me now for a third time, and I’ve said yes twice'""",No,No,New York,6/28/2022,Governor,N/A,"196,874",43%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Lankford,Male,White,,,No?,12/1/2022,N/A (checked against interactive),"called for election commission to review 2020 election, said voter fraud concerns are justified; said in 2020 that he would vote against certification (then later apologized for it: https://www.mcclatchydc.com/news/nation-world/national/article248530080.html), and he wound up voting in favor (gave a pretty powerful speech on Jan. 6 actually), and fought for Biden as president-elect to get security briefings (https://nypost.com/2020/11/17/sen-lankford-did-step-in-over-biden-getting-intel-briefings/)",Yes,No,Oklahoma,6/28/2022,Senator,N/A,"243,132",68%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Jackson Lahmeyer,Male,White,,,Yes,3/2/2023,Nathaniel,"""election integrity"" is listed as top campaign issue, refers specifically to fraud in 2020",No,Yes,Oklahoma,6/28/2022,Senator,N/A,"94,572",26%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Joan Farr,Female,White,,,Yes,3/10/2023,Kaleigh,multiple tweets and Twitter bio regarding election fraud in 2020 election,No,Yes,Oklahoma,6/28/2022,Senator,N/A,"20,761",6%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Markwayne Mullin,Male,White,Native American (Cherokee),,Yes,12/1/2022,N/A (checked against interactive),voted to oppose Biden's certification; reiterated his position in a runoff debate,No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"156,087",44%,Made runoff,183118,65%,Won,Yes (runoff only),7/9/2022,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
T.W. Shannon,Male,Black,Native American (Chickasaw),,Yes,6/14/2022,Maya,"defended insurrections for Jan. 6 because of 2020 rigged election, US gov failed on election integrity. Numerous tweets about election fraud dating back to at least 2016 (this is one of the more recent ones). Reiterated his position in a runoff debate.",No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"62,746",18%,Made runoff,98246,35%,Lost,No (runoff only),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alex Gray,Male,White,,,N/A,6/14/2022,N/A (they are N/A),not mentioned on campaign site. This is the only tweet that might be questionable. Couldn't find an email to contact the campaign,No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"3,063",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nathan Dahm,Male,White,,,?,3/2/2023,Nathaniel,"Filed bill to audit election. “There are serious doubts about the integrity of the 2020 election,” Dahm said.",No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"42,673",12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Luke Holland,Male,White,,,?,3/10/2023,Kaleigh,said that Biden should be sworn in but that this is different from whether he was properly elected,No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"40,353",11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Adam Holley,Male,White,,,Yes,6/14/2022,Maya,calls for the 2020 election to be fixed with extensive auditing,No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"1,873",1%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jessica Jean Garrison,Female,White,,,N/A,6/14/2022,N/A (they are N/A),no campaign website but has a campaign FB page,No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"6,114",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Laura Moreno,Female,White,,,N/A,6/14/2022,N/A (they are N/A),"unclear if contact email found on campaign FB is appropriate for contacting, no email on campaign website",No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"6,597",2%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Coibion,Male,White,,,N/A,6/14/2022,N/A (they are N/A),no website or social media,No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"1,261",0%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott Pruitt,Male,White,,,Yes,3/2/2023,Nathaniel,repeated claims of election fraud preventing Trump from reelection,No,No,Oklahoma,6/28/2022,Senator (unexpired term),N/A,"18,052",5%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
