,Personal Data,,,,,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,Misc. Stuff
Caroleene Dobson,Female,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,2,,15102,24.76%,Made runoff,14705,58.41%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes (runoff),N/A,
Barron Rae Bevels,Female,Black,,,Pro-Life,,Meredith,2/19/24,No,Yes,Alabama,3/5/24,Representative,3,,4856,5.58%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Bryan K. Newell,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/19/24,No,Yes,Alabama,3/5/24,Representative,3,,10926,12.56%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Mike Rogers,Male,White,,,No mention,No issue positions on site; no mention of abortion terms in bio,Meredith,2/19/24,Yes,No,Alabama,3/5/24,Representative,3,H2AL03032,71242,81.86%,Won,N/A,N/A,N/A,Yes,11/1/23,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Justin Holcomb,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Meredith,2/19/24,No,Yes,Alabama,3/5/24,Representative,4,,20025,20.21%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Robert B. Aderholt,Male,White,,,Pro-Life,,Meredith,2/19/24,Yes,No,Alabama,3/5/24,Representative,4,H6AL04098,79083,79.79%,Won,N/A,N/A,N/A,Yes,11/28/23,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Dale Strong,Male,White,,,Pro-Life,,Meredith,2/19/24,Yes,No,Alabama,3/5/24,Representative,5,H2AL05102,1,100.00%,Won,N/A,N/A,N/A,Yes,11/29/23,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Gary Palmer,Male,White,,,Pro-Life,,Meredith,2/19/24,Yes,No,Alabama,3/5/24,Representative,6,H4AL06098,76488,87.89%,Won,N/A,N/A,N/A,Yes,11/27/23,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Gerrick Wilkins,Male,White,,,Pro-Life,,Meredith,2/19/24,No,Yes,Alabama,3/5/24,Representative,6,,9701,11.15%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Ken McFeeters,Male,White,,,No mention,,Meredith,2/19/24,No,Yes,Alabama,3/5/24,Representative,6,,5705,6.56%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Christian Horn,Male,Black,,,N/A,no website,Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,7,,18116,58.24%,Dropped out,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Dropped out prior to the primary, but still appeared on the ballot"
Robin Litaker,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/19/24,No,No,Alabama,3/5/24,Representative,7,,12990,41.76%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rick Crawford,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms; has issues on his official .gov account, but doesn't list abortion",Meredith,2/19/24,Yes,No,Arkansas,3/5/24,Representative,1,H0AR01083,1,100.00%,Won,N/A,N/A,N/A,Yes,1/30/24,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
French Hill,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/19/24,Yes,No,Arkansas,3/5/24,Representative,2,H4AR02141,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Steve Womack,Male,White,,,No mention,"No issue positions on campaign site; .gov official site says ""life begins at conception"" but we are not including official website details. ",Meredith,2/19/24,Yes,No,Arkansas,3/5/24,Representative,3,H0AR03055,35768,53.94%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Clint Penzo,Male,Unknown,,,Pro-Life,,Meredith,2/19/24,No,Yes,Arkansas,3/5/24,Representative,3,,30545,46.06%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
Bruce Westerman,Male,White,,,No mention,"Has issues on campaign site, doesn't mention abortion ",Meredith,2/22/24,Yes,No,Arkansas,3/5/24,Representative,4,H4AR04048,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Doug LaMalfa,Male,White,,,No mention,"Has issues on campaign and .gov site, doesn't mention abortion ",Meredith,2/22/24,Yes,No,California,3/5/24,Representative,1,H2CA02142,122858,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Chris Coulombe,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,2,,38039,66.88%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tief Gibbs,Female,White,,,Pro-Life,,Meredith,2/22/24,No,No,California,3/5/24,Representative,2,,18834,33.12%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Kiley,Male,White,,,No mention,No issue positions on site; no mention of abortion terms in bio,Meredith,2/22/24,Yes,No,California,3/5/24,Representative,3,H2CA03157,137397,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Munn,Male,White,,,Other,,Meredith,2/22/24,No,No,California,3/5/24,Representative,4,,58787,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tom McClintock,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,Yes,No,California,3/5/24,Representative,5,H8CA04152,118958,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Craig J. DeLuz,Male,hispanic,Black,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,6,,14361,24.03%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Raymond Riehle,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,6,,15779,26.40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Christine Bish,Female,White,,,No mention,No issue positions on site; no mention of abortion terms in bio,Meredith,2/22/24,No,No,California,3/5/24,Representative,6,,29628,49.57%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tom Silva,Male,White,,,No mention,"No issue positions on site; no mention of abortion terms in bio, ",Meredith,2/22/24,No,No,California,3/5/24,Representative,7,,48943,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Rudy Recile,Male,Asian (Filipino),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,8,,29944,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John McBride,Male,White,,,No mention,"Has issues on site, doesn't mention abortion; mentioned he worked at the Pregnancy Help Center, but doesn't say anything else about that.",Meredith,2/22/24,No,No,California,3/5/24,Representative,9,,15707,25.50%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kevin Lincoln,Male,Black,hispanic (Mexican),,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,9,,36744,59.65%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Khalid Jeffrey Jafri,Male,Asian,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,9,,9150,14.85%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Nolan Lee Chen,Male,asian,,,No mention,"Has issues on site, doesn't mention abortion",Meredith,2/22/24,No,No,California,3/5/24,Representative,10,,19465,35.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Katherine Piccinini,Female,White,,,Pro-Life,"no issues, but says she will protect the unborn",Meredith,2/22/24,No,No,California,3/5/24,Representative,10,,34900,64.20%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bruce Lou,Male,asian,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,11,,16285,55.91%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eve Del Castello,Female,Unknown,,,N/A,no website,Meredith,2/22/24,No,No,California,3/5/24,Representative,11,,2751,9.45%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jason Chuyuan Zeng,Male,Asian (Chinese),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,11,,6607,22.68%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Larry Nichelson,Male,White,,,N/A,no website,Meredith,2/22/24,No,No,California,3/5/24,Representative,11,,3482,11.96%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ned Nuerge,Male,White,,,N/A,no website,Meredith,2/22/24,No,No,California,3/5/24,Representative,12,,2535,20.70%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stephen Slauson,Male,White,,,N/A,no website,Meredith,2/22/24,No,No,California,3/5/24,Representative,12,,9710,79.30%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Duarte,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,Yes,No,California,3/5/24,Representative,13,H2CA13131,47219,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alison Hayden,Female,White,,,N/A,no website,Meredith,2/22/24,No,No,California,3/5/24,Representative,14,,11948,28.52%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Luis Reynoso,Male,hispanic (Mexican),,,N/A,no website,Meredith,2/22/24,No,No,California,3/5/24,Representative,14,,7812,18.65%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vin Kruttiventi,Male,Asian (Indian),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,14,,22134,52.83%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anna Cheng Kramer,Female,Asian (Taiwanese),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,15,,35868,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Peter Ohtaki,Male,asian ,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,16,,23283,66.82%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Karl Ryan,Male,White,,,No mention,No issue positions or bio on site,Meredith,2/22/24,No,No,California,3/5/24,Representative,16,,11563,33.18%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Anita Chen,Female,Asian (Taiwanese),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,17,,31568,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Peter D. Hernandez,Male,Hispanic (Mexican),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,18,,31665,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jason Michael Anderson,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,19,,58285,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David A. Giglio,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,20,,2224,1.89%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Kelly Kulikoff,Male,White,,,No mention,No issue positions on site; no mention of abortion terms in bio,Meredith,2/22/24,No,No,California,3/5/24,Representative,20,,724,0.61%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Kyle Kirkland,Male,White,,,No mention,No issue positions on site; no mention of abortion terms in bio,Meredith,2/22/24,No,No,California,3/5/24,Representative,20,,6429,5.46%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Matthew Stoll,Male,White,,,No mention,No issue positions on site; no mention of abortion terms in bio,Meredith,2/22/24,No,No,California,3/5/24,Representative,20,,1131,0.96%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Mike Boudreaux,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,20,,37883,32.16%,Made runoff,,,,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Stan Ellis,Male,White,,,N/A,no website,Meredith,2/22/24,No,No,California,3/5/24,Representative,20,,3252,2.76%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Vince Fong,Male,Asian (Chinese),,,No mention,No issue positions on site; no mention of abortion terms in bio,Meredith,2/22/24,No,No,California,3/5/24,Representative,20,,66160,56.16%,Made runoff,,,,Yes,2/20/24,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Michael Maher,Male,White,,,No mention,No issue positions on site; no mention of abortion terms in bio,Meredith,2/22/24,No,No,California,3/5/24,Representative,21,,37935,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Chris Mathys,Male,White,,,Pro-Life,,Meredith,2/22/24,No,Yes,California,3/5/24,Representative,22,,13745,40.16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,
David G. Valadao,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,Yes,No,California,3/5/24,Representative,22,H2CA20094,20479,59.84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Jay Obernolte,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,Yes,No,California,3/5/24,Representative,23,H0CA08135,70208,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
Thomas Cole,Male,White,,,Other,mentions a 5 month limit,Meredith,2/22/24,No,No,California,3/5/24,Representative,24,,71089,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
"Ceci ""Cecilia"" Truman",Female,hispanic,,,No mention,"No issue positions on site; no mention of abortion terms in bio, ",Meredith,2/22/24,No,No,California,3/5/24,Representative,25,,17815,39.89%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ian M. Weeks,Male,White,,,No mention,"No issue positions on site; no mention of abortion terms in bio, ",Meredith,2/22/24,No,No,California,3/5/24,Representative,25,,20992,47.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Miguel Chapa,Male,hispanic (Mexican),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,25,,5856,13.11%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bruce Boyer,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,26,,17707,24.05%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Michael Koslow,Male,White,,,No mention,"Has ""values"" on his site; no mention of abortion",Meredith,2/22/24,No,No,California,3/5/24,Representative,26,,55908,75.95%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Garcia,Male,hispanic (Mexican),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,Yes,No,California,3/5/24,Representative,27,H0CA25105,74245,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
April A. Verlato,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,28,,52369,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Benito Benny Bernal,Male,hispanic (Mexican),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,29,,21446,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Alex Balekian,Male,White (Armenian),,,Other,"I believe that abortions should be freely available to women who want one due to health concerns, fetal anomalies, or unplanned pregnancies. I also believe that aggressive/exhaustive pregnancy prevention strategies should be at least as widely available as abortion.",Meredith,2/22/24,No,No,California,3/5/24,Representative,30,,26826,79.84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Emilio Martinez,Male,hispanic,,,N/A,no website,Meredith,2/22/24,No,No,California,3/5/24,Representative,30,,6775,20.16%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Daniel Jose Bocic Martinez,Male,hispanic,White,,N/A,"has a website, but it says ""coming soon""",Meredith,2/22/24,No,No,California,3/5/24,Representative,31,,19464,53.27%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Pedro Antonio Casas,Male,hispanic,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,31,,17077,46.73%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
James Shuster,Male,White,,,No mention,"Not a dedicated issues page, but has some things listed on homepage, but doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,32,,16601,35.67%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Larry Thompson,Male,White,,,Other,"""It's not an issue for the national government anymore. The people and legislatures of each state will determine their policies.""",Meredith,2/22/24,No,No,California,3/5/24,Representative,32,,29939,64.33%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Tom Herman,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,33,,33815,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Calvin Lee,Male,asian,,,Pro-Life,"I think fair to say ""pro-life."" website says ""no abortion""",Meredith,2/22/24,No,No,California,3/5/24,Representative,34,,11495,100.00%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mike Cargile,Male,White,,,Pro-Life,,Meredith,2/22/24,No,No,California,3/5/24,Representative,35,,32082,90.19%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Vijal Suthar,Female,Asian (Indian),,,No mention,"Has issues on site, doesn't mention abortion ",Meredith,2/22/24,No,No,California,3/5/24,Representative,35,,3491,9.81%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Ariana Hakami,Female,Middle Eastern (Afghanistan),,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,36,,25823,48.48%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Melissa Toomim,Female,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,36,,27440,51.52%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Eric J. Ching,Male,Asian,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,38,,26744,55.01%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John Sarega,Male,White,,,N/A,No website,Irena,2/20/24,No,No,California,3/5/24,Representative,38,,13841,28.47%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Robert Zhang Ochoa,Male,hispanic (Mexican),,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,No,No,California,3/5/24,Representative,38,,8034,16.52%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Serpa,Male,Unknown,,,Other,specifies 15 weeks,Irena,2/20/24,No,No,California,3/5/24,Representative,39,,38750,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Young Kim,Female,Asian (Korean),,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,Yes,No,California,3/5/24,Representative,40,H8CA39240,109963,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,N/A,Yes,Yes,Yes,
Ken Calvert,Male,White,,,No mention,"No issues on page, but in bio doesn't mention abortion terms",Irena,2/20/24,Yes,No,California,3/5/24,Representative,41,H2CA37023,85959,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,
John Briscoe,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,42,,30599,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
David Knight,Male,White,,,No mention,"Has issues on site, doesn't mention abortion ",Irena,2/20/24,No,No,California,3/5/24,Representative,43,,5647,34.14%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
